run_tag,trace,tool,format,repeat,seconds,output_bytes,status
run_20260717_203326,s16_11.6GiB,c,CSV,1,571.317,28883219406,0
run_20260717_203326,s16_11.6GiB,fastotf2,CSV,1,29.938,36127757586,0
run_20260717_203326,s16_11.6GiB,fastotf2,PARQUET,1,24.841,6106410765,0
run_20260717_203326,s16_11.6GiB,python,CSV,1,4688.755,28912978576,0
run_20260717_203326,s16_11.6GiB,python,PARQUET,1,4831.203,5079348918,0
run_20260717_203326,s2_0.7GiB,c,CSV,1,28.687,1823729530,0
run_20260717_203326,s2_0.7GiB,fastotf2,CSV,1,14.104,2282757204,0
run_20260717_203326,s2_0.7GiB,fastotf2,PARQUET,1,9.03,396252052,0
run_20260717_203326,s2_0.7GiB,python,CSV,1,267.694,1825186856,0
run_20260717_203326,s2_0.7GiB,python,PARQUET,1,281.373,322859141,0
run_20260717_203326,s32_32.7GiB,c,CSV,1,2260.287,82881672547,0
run_20260717_203326,s32_32.7GiB,fastotf2,CSV,1,73.444,104446185180,0
run_20260717_203326,s32_32.7GiB,fastotf2,PARQUET,1,62.718,17451163591,0
run_20260717_203326,s32_32.7GiB,python,CSV,1,13009.297,82967869953,0
run_20260717_203326,s32_32.7GiB,python,PARQUET,1,13470.596,14272498955,0
run_20260717_203326,s4_1.9GiB,c,CSV,1,81.765,5337288873,0
run_20260717_203326,s4_1.9GiB,fastotf2,CSV,1,18.407,6726141645,0
run_20260717_203326,s4_1.9GiB,fastotf2,PARQUET,1,12.334,1109757940,0
run_20260717_203326,s4_1.9GiB,python,CSV,1,757.364,5341253901,0
run_20260717_203326,s4_1.9GiB,python,PARQUET,1,790.65,907078270,0
run_20260717_203326,s8_5.5GiB,c,CSV,1,245.606,15926670905,0
run_20260717_203326,s8_5.5GiB,fastotf2,CSV,1,28.577,20383387457,0
run_20260717_203326,s8_5.5GiB,fastotf2,PARQUET,1,19.375,3230437521,0
run_20260717_203326,s8_5.5GiB,python,CSV,1,2201.927,15937909769,0
run_20260717_203326,s8_5.5GiB,python,PARQUET,1,2336.428,2638288813,0
